"ID","start_age","grid","death_day","death_age"
808,53,1,10864,82.7644
809,67,3,4384,79.011
810,63,3,7860,84.5342
811,32,2,16772,77.9507
812,64,3,9936,91.2219
813,47,3,4154,58.3808
814,76,1,2513,82.8849
815,69,3,9160,94.0959
816,36,1,17491,83.9205
817,44,3,15518,86.5151
818,35,2,11513,66.5425
819,58,3,8910,82.411
820,57,3,9537,83.1288
821,64,2,11779,96.2712
822,44,1,14687,84.2384
823,59,3,9457,84.9096
824,88,3,2245,94.1507
825,67,2,8566,90.4685
826,33,2,12547,67.3753
827,51,3,18302,101.1425
828,32,3,18667,83.1425
829,46,2,13944,84.2027
830,66,2,6702,84.3616
831,30,3,20594,86.4219
832,69,2,2561,76.0164
833,52,3,4777,65.0877
834,66,3,1003,68.7479
835,63,2,9482,88.9781
836,57,3,6829,75.7096
837,65,2,4386,77.0164
838,62,2,10625,91.1096
839,43,3,12873,78.2685
840,34,3,15079,75.3123
841,84,3,5108,97.9945
842,67,3,5141,81.0849
843,60,2,6437,77.6356
844,35,3,20168,90.2548
845,56,3,9675,82.5068
846,42,2,5858,58.0493
847,78,2,2962,86.1151
848,30,3,7609,50.8466
849,41,3,10706,70.3315
850,36,2,13000,71.6164
851,45,2,12439,79.0795
852,66,3,445,67.2192
853,89,2,165,89.4521
854,65,3,9847,91.9781
855,54,1,9326,79.5507
856,51,1,9049,75.7918
857,82,1,5655,97.4932
858,35,2,23179,98.5041
859,33,1,12834,68.1616
860,77,2,344,77.9425
861,50,3,15976,93.7699
862,32,1,18618,83.0082
863,61,1,14143,99.7479
864,52,3,11480,83.4521
865,60,2,11210,90.7123
866,42,3,5741,57.7288
867,37,3,18924,88.8466
868,35,3,2820,42.726
869,54,3,12398,87.9671
870,56,1,8850,80.2466
871,36,3,5795,51.8767
872,38,2,7469,58.463
873,68,3,802,70.1973
874,55,1,11708,87.0767
875,75,3,1975,80.411
876,63,2,10446,91.6192
877,30,1,23339,93.9425
878,64,3,11542,95.6219
879,77,3,3478,86.5288
880,61,1,6835,79.726
881,35,1,13732,72.6219
882,80,1,4695,92.863
883,63,3,7617,83.8685
884,37,3,15145,78.4932
885,67,3,5293,81.5014
886,82,1,361,82.989
887,50,1,15019,91.1479
888,44,2,19887,98.4849
889,42,1,19038,94.1589
890,40,1,22291,101.0712
891,57,1,2543,63.9671
892,68,2,3351,77.1808
893,63,1,5966,79.3452
894,56,1,10540,84.8767
895,71,3,6275,88.1918
896,68,1,7264,87.9014
897,30,2,16532,75.2932
898,48,1,10176,75.8795
899,32,3,3473,41.5151
900,70,2,1675,74.589
901,80,2,2164,85.9288
902,56,1,10196,83.9342
903,74,1,763,76.0904
904,58,2,9204,83.2164
905,63,1,1831,68.0164
906,54,2,16793,100.0082
907,68,1,7120,87.5068
908,78,3,5158,92.1315
909,72,3,2305,78.3151
910,33,1,19513,86.4603
911,30,3,21072,87.7315
912,32,2,17911,81.0712
913,75,2,8361,97.9068
914,58,2,11673,89.9808
915,44,3,18047,93.4438
916,84,1,5483,99.0219
917,58,3,9221,83.263
918,55,1,778,57.1315
919,48,1,2349,54.4356
920,45,2,8485,68.2466
921,71,1,4538,83.4329
922,31,1,18326,81.2082
923,47,3,15569,89.6548
924,74,1,6464,91.7096
925,64,3,5860,80.0548
926,64,3,9219,89.2575
927,46,3,8874,70.3123
928,57,2,8424,80.0795
929,36,3,21243,94.2
930,70,3,8573,93.4877
931,77,3,6533,94.8986
932,39,2,1336,42.6603
933,69,3,11446,100.3589
934,59,2,7188,78.6932
935,83,2,5517,98.1151
936,37,3,15543,79.5836
937,55,3,13080,90.8356
938,76,3,3704,86.1479
939,75,1,4837,88.2521
940,31,2,16747,76.8822
941,86,3,295,86.8082
942,53,2,9306,78.4959
943,48,2,7270,67.9178
944,50,2,7569,70.737
945,34,2,15417,76.2384
946,37,2,15360,79.0822
947,49,2,14078,87.5699
948,46,1,17168,93.0356
949,49,2,11815,81.3699
950,44,1,14761,84.4411
951,57,3,6388,74.5014
952,37,3,5185,51.2055
953,83,3,3610,92.8904
954,32,3,12002,64.8822
955,47,3,6464,64.7096
956,84,3,6120,100.7671
957,61,2,3101,69.4959
958,32,2,17857,80.9233
959,49,3,16149,93.2438
960,50,1,9203,75.2137
961,54,2,13033,89.7068
962,51,2,11412,82.2658
963,60,1,2807,67.6904
964,36,2,11461,67.4
965,78,2,7981,99.8658
966,57,3,14353,96.3233
967,56,1,7281,75.9479
968,35,3,19633,88.789
969,68,1,4806,81.1671
970,53,3,12077,86.0877
971,69,1,11,69.0301
972,32,3,14399,71.4493
973,72,2,12371,105.8932
974,42,2,10003,69.4055
975,43,2,17252,90.2658
976,61,3,5553,76.2137
977,82,1,1280,85.5068
978,30,3,21318,88.4055
979,46,1,3241,54.8795
980,50,3,10159,77.8329
981,52,1,6299,69.2575
982,65,1,1251,68.4274
983,80,2,6733,98.4466
984,60,3,6135,76.8082
985,78,2,89,78.2438
986,68,2,8115,90.2329
987,36,1,22651,98.0575
988,37,3,2104,42.7644
989,39,3,19540,92.5342
990,50,1,14972,91.0192
991,34,2,17064,80.7507
992,40,1,12803,75.0767
993,57,3,511,58.4
994,49,1,16519,94.2575
995,57,2,6673,75.2822
996,72,2,12948,107.474
997,61,2,4611,73.6329
998,48,2,14027,86.4301
999,65,1,830,67.274
1000,35,1,20069,89.9836
1001,43,1,8056,65.0712
1002,59,1,8400,82.0137
1003,37,3,20638,93.5425
1004,74,2,5464,88.9699
